Dotazník,Věk,Pohlaví,Kraj,Region,Velikost místa bydliště,Vzdělání,Praktikujete orální sex?,Druh sexu a oční kontakt
527,37,Žena,Středočeský,Čechy,Do 1000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
528,58,Muž,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
529,59,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
530,38,Muž,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,anální styk – oční kontakt je důležitý
531,32,Muž,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
532,37,Žena,Ústecký,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
533,55,Muž,Vysočina,Čechy,Do 1000 obyvatel,SŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
534,33,Muž,Olomoucký,Morava,20 001 až 100 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
535,39,Žena,Jihomoravský,Morava,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
536,44,Muž,Praha,Praha,Více než 100 000 obyvatel,ZŠ,ne – neměl/a jsem vaginální/anální styk,orální sex – oční kontakt je důležitý
537,43,Muž,Středočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
538,26,Žena,Ústecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
539,47,Muž,Karlovarský,Čechy,Do 1000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
540,47,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
541,60,Žena,Ústecký,Čechy,5 001 až 20 000 obyvatel,VŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
542,56,Žena,Středočeský,Čechy,Do 1000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,jinou
543,44,Žena,Středočeský,Čechy,5 001 až 20 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
544,45,Muž,Karlovarský,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
545,21,Žena,Zlínský,Morava,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
546,40,Muž,Středočeský,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
547,64,Žena,Královehradecký,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
548,51,Žena,Středočeský,Čechy,5 001 až 20 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
549,35,Žena,Vysočina,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
550,32,Muž,Vysočina,Čechy,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
551,43,Muž,Pardubický,Čechy,5 001 až 20 000 obyvatel,SŠ,nevím nebo si nevzpomínám,vaginální styk – oční kontakt není důležitý
552,30,Muž,Olomoucký,Morava,Do 1000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
553,19,Muž,Olomoucký,Morava,Více než 100 000 obyvatel,ZŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
554,57,Muž,Středočeský,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
555,19,Muž,Zlínský,Morava,5 001 až 20 000 obyvatel,ZŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
556,65,Žena,Zlínský,Morava,20 001 až 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
557,34,Žena,Jihočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
558,28,Žena,Plzeňský,Čechy,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
559,27,Žena,Liberecký,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
560,41,Žena,Ústecký,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,jinou
561,62,Žena,Pardubický,Čechy,Do 1000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
562,63,Muž,Jihočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,nevím nebo si nevzpomínám,vaginální styk – oční kontakt není důležitý
563,44,Žena,Karlovarský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
564,61,Muž,Jihomoravský,Morava,Do 1000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
565,35,Muž,Vysočina,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
566,31,Muž,Liberecký,Čechy,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
567,26,Muž,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
568,38,Žena,Jihočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
569,64,Žena,Moravskoslezský,Morava,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
570,39,Žena,Plzeňský,Čechy,5 001 až 20 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
571,20,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
572,36,Žena,Ústecký,Čechy,5 001 až 20 000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
573,31,Muž,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
574,30,Žena,Ústecký,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
575,43,Muž,Zlínský,Morava,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
576,51,Žena,Olomoucký,Morava,20 001 až 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
577,47,Muž,Moravskoslezský,Morava,Více než 100 000 obyvatel,ZŠ,ano – spíše z iniciativy partnera,orální sex – oční kontakt je důležitý
578,22,Muž,Jihomoravský,Morava,Více než 100 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
579,24,Žena,Pardubický,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
580,27,Žena,Středočeský,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
581,31,Žena,Vysočina,Čechy,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
582,24,Muž,Olomoucký,Morava,5 001 až 20 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
583,41,Žena,Vysočina,Čechy,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
584,43,Muž,Zlínský,Morava,20 001 až 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
585,55,Žena,Jihomoravský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,orální sex – oční kontakt není důležitý
586,31,Žena,Královehradecký,Čechy,5 001 až 20 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
587,26,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
588,43,Muž,Středočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
589,44,Muž,Jihomoravský,Morava,5 001 až 20 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt není důležitý
590,54,Žena,Moravskoslezský,Morava,Více než 100 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
591,61,Muž,Pardubický,Čechy,20 001 až 100 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
592,33,Muž,Ústecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
593,52,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
594,64,Žena,Pardubický,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
595,64,Žena,Zlínský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,jinou
596,24,Muž,Středočeský,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
597,30,Muž,Pardubický,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
598,45,Muž,Jihočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
599,31,Žena,Olomoucký,Morava,20 001 až 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
600,42,Žena,Zlínský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
601,63,Žena,Plzeňský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
602,42,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
603,41,Muž,Středočeský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
604,47,Žena,Vysočina,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
605,49,Žena,Ústecký,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,orální sex – oční kontakt není důležitý
606,35,Žena,Královehradecký,Čechy,Do 1000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
607,65,Muž,Ústecký,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
608,57,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,nevím nebo si nevzpomínám,jinou
609,32,Muž,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,jinou
610,32,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,anální styk – oční kontakt není důležitý
611,46,Muž,Jihomoravský,Morava,1 001 až 5 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
612,57,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,SŠ,nevím nebo si nevzpomínám,vaginální styk – oční kontakt je důležitý
613,43,Muž,Olomoucký,Morava,Více než 100 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,jinou
614,33,Muž,Liberecký,Čechy,Do 1000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
615,29,Muž,Jihomoravský,Morava,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
616,25,Žena,Pardubický,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
617,33,Žena,Královehradecký,Čechy,Do 1000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
618,51,Muž,Olomoucký,Morava,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
619,46,Muž,Pardubický,Čechy,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,anální styk – oční kontakt není důležitý
620,59,Žena,Královehradecký,Čechy,5 001 až 20 000 obyvatel,ZŠ,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
621,48,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
622,30,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
623,50,Muž,Středočeský,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
624,43,Žena,Zlínský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
625,61,Muž,Jihočeský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
626,22,Muž,Moravskoslezský,Morava,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
627,25,Muž,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,orální sex – oční kontakt je důležitý
628,59,Muž,Olomoucký,Morava,1 001 až 5 000 obyvatel,SŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
629,63,Žena,Královehradecký,Čechy,Do 1000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,orální sex – oční kontakt není důležitý
630,55,Muž,Jihočeský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
631,64,Žena,Pardubický,Čechy,20 001 až 100 000 obyvatel,VŠ,ano – spíše z iniciativy partnera,orální sex – oční kontakt není důležitý
632,48,Muž,Zlínský,Morava,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
633,55,Muž,Zlínský,Morava,20 001 až 100 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
634,45,Žena,Středočeský,Čechy,5 001 až 20 000 obyvatel,ZŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
635,55,Muž,Vysočina,Čechy,Do 1000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
636,55,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
637,31,Žena,Jihomoravský,Morava,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
638,61,Žena,Karlovarský,Čechy,5 001 až 20 000 obyvatel,SŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
639,52,Žena,Moravskoslezský,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
640,48,Muž,Jihomoravský,Morava,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
641,35,Žena,Jihomoravský,Morava,Více než 100 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
642,19,Muž,Královehradecký,Čechy,5 001 až 20 000 obyvatel,ZŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
643,51,Muž,Ústecký,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
644,40,Muž,Pardubický,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
645,56,Žena,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
646,50,Muž,Jihočeský,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
647,62,Žena,Jihočeský,Čechy,1 001 až 5 000 obyvatel,ZŠ,nevím nebo si nevzpomínám,anální styk – oční kontakt není důležitý
648,42,Muž,Středočeský,Čechy,Do 1000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt není důležitý
649,65,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
650,34,Muž,Středočeský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,orální sex – oční kontakt je důležitý
651,65,Muž,Olomoucký,Morava,Do 1000 obyvatel,VŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
652,43,Žena,Středočeský,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
653,31,Muž,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
654,61,Žena,Jihomoravský,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
655,25,Muž,Jihomoravský,Morava,Do 1000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,orální sex – oční kontakt je důležitý
656,22,Muž,Plzeňský,Čechy,Více než 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
657,55,Muž,Vysočina,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
658,43,Muž,Královehradecký,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
659,40,Muž,Středočeský,Čechy,20 001 až 100 000 obyvatel,VŠ,ano – spíše z iniciativy partnera,orální sex – oční kontakt není důležitý
660,49,Muž,Jihomoravský,Morava,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
661,40,Muž,Praha,Praha,Více než 100 000 obyvatel,VŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt není důležitý
662,58,Muž,Praha,Praha,Více než 100 000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
663,26,Muž,Středočeský,Čechy,1 001 až 5 000 obyvatel,VŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
664,60,Žena,Středočeský,Čechy,1 001 až 5 000 obyvatel,VŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt není důležitý
665,50,Žena,Olomoucký,Morava,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
666,59,Muž,Moravskoslezský,Morava,Do 1000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,jinou
667,61,Muž,Zlínský,Morava,1 001 až 5 000 obyvatel,ZŠ,ne – přestože jsem měl/a vaginální/anální styk,vaginální styk – oční kontakt je důležitý
668,30,Muž,Vysočina,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
669,44,Žena,Ústecký,Čechy,5 001 až 20 000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
670,24,Žena,Moravskoslezský,Morava,1 001 až 5 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
671,45,Muž,Plzeňský,Čechy,Více než 100 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,orální sex – oční kontakt není důležitý
672,41,Muž,Liberecký,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
673,34,Muž,Zlínský,Morava,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
674,38,Muž,Olomoucký,Morava,1 001 až 5 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
675,23,Žena,Praha,Praha,Více než 100 000 obyvatel,Vyučen/a,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
676,20,Žena,Středočeský,Čechy,Do 1000 obyvatel,SŠ,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
677,59,Žena,Jihočeský,Čechy,1 001 až 5 000 obyvatel,Vyučen/a,nevím nebo si nevzpomínám,vaginální styk – oční kontakt není důležitý
678,43,Muž,Pardubický,Čechy,Do 1000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
679,38,Žena,Praha,Praha,Více než 100 000 obyvatel,VŠ,ne – přestože jsem měl/a vaginální/anální styk,orální sex – oční kontakt není důležitý
680,36,Muž,Zlínský,Morava,Do 1000 obyvatel,SŠ,ano – spíše z vlastní iniciativy,vaginální styk – oční kontakt je důležitý
681,56,Muž,Středočeský,Čechy,5 001 až 20 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
682,58,Muž,Liberecký,Čechy,20 001 až 100 000 obyvatel,SŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt není důležitý
683,25,Žena,Plzeňský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt není důležitý
684,53,Muž,Královehradecký,Čechy,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
685,50,Žena,Moravskoslezský,Morava,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
686,62,Žena,Královehradecký,Čechy,Do 1000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
687,49,Žena,Středočeský,Čechy,Do 1000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
688,19,Žena,Jihomoravský,Morava,1 001 až 5 000 obyvatel,ZŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
689,38,Žena,Karlovarský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt není důležitý
690,61,Žena,Karlovarský,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,anální styk – oční kontakt je důležitý
691,32,Žena,Jihomoravský,Morava,Více než 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
692,22,Žena,Vysočina,Čechy,20 001 až 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
693,20,Žena,Ústecký,Čechy,Do 1000 obyvatel,Vyučen/a,ano – spíše z iniciativy partnera,vaginální styk – oční kontakt je důležitý
694,60,Muž,Moravskoslezský,Morava,Více než 100 000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,orální sex – oční kontakt je důležitý
695,64,Žena,Středočeský,Čechy,1 001 až 5 000 obyvatel,ZŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
696,57,Muž,Olomoucký,Morava,1 001 až 5 000 obyvatel,Vyučen/a,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
697,54,Muž,Plzeňský,Čechy,Do 1000 obyvatel,Vyučen/a,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
698,59,Muž,Středočeský,Čechy,1 001 až 5 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
699,64,Muž,Praha,Praha,Více než 100 000 obyvatel,VŠ,ne – neměl/a jsem vaginální/anální styk,vaginální styk – oční kontakt je důležitý
700,32,Muž,Olomoucký,Morava,20 001 až 100 000 obyvatel,SŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
701,24,Muž,Zlínský,Morava,20 001 až 100 000 obyvatel,VŠ,ano – stejně z mé vlastní i partnerovy iniciativy,vaginální styk – oční kontakt je důležitý
